rank,song,pattern
4,"톰보이",S08
5,"애프터 라이크",S09
6,"톰보이",S17
7,"리틀 먼치킨",S16
8,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",S18
9,"애프터 라이크",S06
10,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",S20
11,"서든 어페어런스 이미지",S17
12,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",S16
13,"리틀 먼치킨",S19
14,"리틀 먼치킨",D23
15,"시",S16
16,"서든 어페어런스 이미지",D23
17,"리틀 먼치킨",D20
18,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",D22
19,"톰보이",D22
20,"스테이저",D18
21,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",D19
22,"서든 어페어런스 이미지",S19
23,"유포리아닉",S16
24,"서든 어페어런스 이미지",S21
25,"시",D23
26,"시",S22
27,"리틀 먼치킨",S21
28,"서든 어페어런스 이미지",D21
29,"서든 어페어런스 이미지",D17
30,"시",S19
31,"플레이버 스텝!",S18
32,"일레븐",S06
33,"톰보이",S19
34,"누드",S06
35,"리틀 먼치킨",D17
36,"진폐증 ft. Kagamine Len/GUMI",S16
37,"시",D20
38,"판도라",S11
39,"테디베어",S09
40,"애프터 라이크",S13
41,"판도라",S07
42,"일레븐",S12
43,"톰보이",S05
44,"톰보이",D18
45,"스테이저",S15
46,"시",D18
47,"유포리아닉",S11
48,"판도라",S17
49,"애프터 라이크",S15
50,"유포리아닉",S08
51,"톰보이",D20
52,"누드",S11
53,"베토벤 바이러스",S07
54,"플레이버 스텝!",S14
55,"서든 어페어런스 이미지",S15
56,"요! 세이!! 페어리!!!",S16
57,"진폐증 ft. Kagamine Len/GUMI",S19
58,"애프터 라이크",S04
59,"블루이쉬 로즈",S16
60,"리틀 먼치킨",D15
61,"테디베어",S06
62,"스테이저",D16
63,"애프터 라이크",S18
64,"배드 애플!! feat. Nomico",S09
65,"굿 나이트",S09
66,"추격",S16
67,"플레이버 스텝!",S11
68,"추격",S22
69,"이렐리아",S18
70,"톰보이",D12
71,"이렐리아",S22
72,"일레븐",S15
73,"판도라",D18
74,"8 6",S20
75,"리틀 먼치킨",S13
76,"8 6",S16
77,"네오 카타르시스",S20
78,"트릭크래쉬 220",S18
79,"진폐증 ft. Kagamine Len/GUMI",D22
80,"큐리아서티 오버드라이브",S18
81,"플레이버 스텝!",D15
82,"스위트로닉",S15
83,"네오 카타르시스",S22
84,"아모르 파티",S15
85,"비옐라의 악몽",S11
86,"플레이버 스텝!",D19
87,"밀크",S07
88,"모페모페",S11
89,"테디베어",S14
90,"보카",S09
91,"비행기",S13
92,"큐리아서티 오버드라이브",S15
93,"벡터",S14
94,"유포리아닉",S05
95,"트릭크래쉬 220",S21
96,"요! 세이!! 페어리!!!",S20
97,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",D13
98,"배드 애플!! feat. Nomico",S05
99,"웨딩 크래셔",S10
100,"유 앤 아이",S07
101,"큐리아서티 오버드라이브",S20
102,"가고일 - FULL SONG -",S21
103,"네오 카타르시스",S17
104,"유포리아닉",D18
105,"유포리아닉",S19
106,"요! 세이!! 페어리!!!",S11
107,"보카",S14
108,"일레븐",S17
109,"블루이쉬 로즈",S20
110,"벡터",S18
111,"여래아",S01
112,"머독",S18
113,"에너지 시너지 매트릭스",S07
114,"바버스 매드니스",S18
115,"베토벤 바이러스",S12
116,"플레이버 스텝!",S21
117,"서든 어페어런스 이미지",S13
118,"R.I.P",S12
119,"스톰",S17
120,"할로윈 파티 ~Multiverse~",S08
121,"베르사이유",S16
122,"베토벤 바이러스",S06
123,"톰보이",S03
124,"스톰",S14
125,"비옐라의 악몽",S16
126,"트릭크래쉬 220",D20
127,"애프터 라이크",D20
128,"여래아",S13
129,"비행기",S15
130,"큐리아서티 오버드라이브",S10
131,"벡터",S08
132,"조깅",S16
133,"요! 세이!! 페어리!!!",D18
134,"블루이쉬 로즈",S12
135,"시",S11
136,"유포리아닉",D10
137,"할로윈 파티 ~Multiverse~",S12
138,"트릭크래쉬 220",S15
139,"꼭두각시",S18
140,"애프터 라이크",D15
141,"얼티메이텀",S21
142,"체이스 미",S09
143,"일레븐",D18
144,"사이먼 세이즈, 유로댄스!! (feat. Sara☆M)",S11
145,"머독",S20
146,"R.I.P",S16
147,"밀크",S11
148,"할시온",S12
149,"조깅",S09
150,"판도라",D13
151,"파이렛",S09
152,"밀크",S17
153,"블루이쉬 로즈",D18
154,"굿바운스",S16
155,"시",D13
156,"트릭크래쉬 220",S23
157,"애프터 라이크",D17
158,"바이올렛 퍼퓸",S13
159,"진폐증 ft. Kagamine Len/GUMI",S12
160,"파이렛",S13
161,"모페모페",S15
162,"비옐라의 악몽",S19
163,"바버스 매드니스",S22
164,"애프터 라이크",D07
165,"푸파",S17
166,"애프터 라이크",S01
167,"누드",S14
168,"비행기",S17
169,"스테이저",S11
170,"베르사이유",S10
171,"할로윈 파티 ~Multiverse~",S18
172,"할로윈 파티 ~Multiverse~",S16
173,"밀크",S15
174,"아모르 파티",S06
175,"에너지 시너지 매트릭스",S16
176,"얼티메이텀",S17
177,"큐리아서티 오버드라이브",D16
178,"꺼림칙한",S19
179,"이렐리아",S13
180,"브레인 파워",S11
181,"트릭크래쉬 220",D23
